Sample,Terrace,Species,Replicate,EcoType,Carbon ,Nitrogen,Phenolics,Aluminum,Boron,Calcium,Cadmium,Copper,Iron,Potassium,Magnesium,Manganese,Molybdenum,Sodium,Phosphorus,Lead,Sulfur,Silicon,Zinc
T4V5,Four,Vaccinium,5,T4V,43.03,0.38,12.3,105.3,37.37,4479.45,0.09,4.77,30.8,5398.91,1879.35,67.88,0,1207.26,531.47,0.22,1062.89,178.59,10
T4V6,Four,Vaccinium,6,T4V,,,10.6,206.33,84.01,8606.35,0.06,12.97,31.56,8451.32,1784.92,3.55,0,1281.56,909.96,0.16,1615.02,103.5,3.34
T4V7,Four,Vaccinium,7,T4V,45.85,0.4,11.5,124.68,61.63,4234.31,0.03,6.44,37.06,6212.06,1868.91,97.86,0,649.79,381.36,0,1048.07,261.63,15.45
T4V8,Four,Vaccinium,8,T4V,,,,,,,,,,,,,,,,,,,
T4V9,Four,Vaccinium,9,T4V,44.49,0.41,12.1,469.04,77.27,6629.33,0.06,31.68,302.86,3129.92,2008.89,71.33,0,1010.9,362.68,0.48,1228.71,175.93,13.33
T5V1,Five,Vaccinium,1,T5V,41.66,0.6,5.9,80.67,36.84,2920.2,0,6.69,41.15,7454.84,1381.83,30.52,0.52,598.25,471.68,0.93,950.5,209.32,8.21
T5V10,Five,Vaccinium,10,T5V,42.22,0.53,10.3,122.11,42.59,4659.22,0.03,7.79,45.18,6552.72,1710.61,84.67,0,1015.26,1016.18,0,1165.75,257.16,6.86
T5V2,Five,Vaccinium,2,T5V,41.39,0.65,11.9,391.6,60.79,6838.72,0.08,9.06,56.32,7805.06,1627.57,81.87,0,829.5,542.98,0,1241.94,756.85,11.83
T5V3,Five,Vaccinium,3,T5V,48.28,0.57,8.2,,,,,,,,,,,,,,,,
T5V4,Five,Vaccinium,4,T5V,42.28,0.15,8.3,94.19,37.71,4093.53,0.01,7.81,28.46,6695.07,2046.29,56.09,0,863.8,529.75,0,1140.63,206.36,8.24
T5V5,Five,Vaccinium,5,T5V,41.63,0.55,12,59.43,26.59,5181.71,0.02,24.57,26.11,7540.39,1519.9,27.47,0,646.04,585.55,0,1030.07,107.18,12.68
T5V6,Five,Vaccinium,6,T5V,50.86,0.78,9.6,224.58,46.41,8502.24,0.03,17.94,37.84,3072.72,2082.09,215.89,0,824.14,692.43,0,970.22,137.5,26.97
T5V7,Five,Vaccinium,7,T5V,41.39,0.32,11.5,551.75,37.28,4022.19,0.02,5.66,37.54,3189.94,2207.69,52.51,0,851.04,478.49,0,883.26,1222.19,14.54
T5V8,Five,Vaccinium,8,T5V,40.54,0.51,11.9,619.74,38.71,3552.87,0.02,6.97,51.44,7159.5,1880.34,66.97,0,1076.15,742.46,0.24,1469.04,546.6,18.04
T5V9,Five,Vaccinium,9,T5V,39.67,0.32,8.9,152.11,29.69,6287.43,0,19.97,34.18,8172.86,1867.38,86.82,0,840.22,474.87,0.02,1025.71,134.66,14.4
