,Kingdom,Phylum,Class,Order,Family,Confidence
ASV3997,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,1
ASV4000,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,1
ASV4001,Bacteria,Proteobacteria,Betaproteobacteria,MND1,NA,1
ASV4002,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,1
ASV4003,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV4004,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,1
ASV4006,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV4007,Bacteria,Cyanobacteria,ML635J-21,NA,NA,1
ASV4008,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4009,Bacteria,Chloroflexi,Ellin6529,NA,NA,1
ASV4010,Bacteria,Planctomycetes,Phycisphaerae,CPla-3,NA,1
ASV4011,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4012,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,0.67
ASV4014,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,1
ASV4015,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV4019,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,1
ASV4020,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,1
ASV4021,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,0.67
ASV4022,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV4024,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV4025,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,1
ASV4026,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV4028,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4029,Bacteria,Acidobacteria,Chloracidobacteria,DS-100,NA,0.67
ASV4032,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4033,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1
ASV4034,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,1
ASV4036,Bacteria,WS3,PRR-12,Sediment-1,NA,1
ASV4039,Bacteria,Proteobacteria,TA18,PHOS-HD29,NA,1
ASV4040,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4042,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4043,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,NA,0.67
ASV4044,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,1
ASV4045,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV4046,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,1
ASV4047,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV4049,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4050,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV4051,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV4052,Bacteria,Chloroflexi,Anaerolineae,SHA-20,NA,1
ASV4054,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4056,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV4058,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4060,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4061,Bacteria,TM7,TM7-1,NA,NA,1
ASV4062,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4063,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,1
ASV4064,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,1
ASV4065,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV4068,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4069,Bacteria,Gemmatimonadetes,Gemm-3,NA,NA,1
ASV4070,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,1
ASV4072,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,1
ASV4073,Bacteria,TM7,SC3,NA,NA,1
ASV4074,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV4075,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,0.67
ASV4076,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,0.67
ASV4077,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,1
ASV4078,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,1
ASV4079,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV4082,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV4083,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,1
ASV4084,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4085,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,1
ASV4088,Bacteria,Gemmatimonadetes,Gemmatimonadetes,KD8-87,NA,0.67
ASV4089,Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,1
ASV4091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,1
ASV4094,Bacteria,FBP,NA,NA,NA,1
ASV4095,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV4096,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,1
ASV4097,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,1
ASV4098,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,0.67
ASV4099,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,0.67
ASV4100,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV4101,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV4104,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,1
ASV4105,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,1
ASV4106,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4108,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,1
ASV4110,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,1
ASV4111,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,NA,1
ASV4113,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,0.67
ASV4117,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Root;k__Bacteria;p__Verrucomicrobia;c__Pedosphaerae;o__Pedosphaerales,1
ASV4118,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV4119,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,NA,1
ASV4120,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,1
ASV4121,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV4123,Bacteria,Acidobacteria,Chloracidobacteria,NA,NA,1
ASV4125,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,NA,1
ASV4126,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4127,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,1
ASV4128,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,1
ASV4130,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,1
ASV4131,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,1
ASV4132,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,0.67
ASV4133,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,NA,0.67
ASV4135,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV4137,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,1
ASV4138,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,1
ASV4141,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV4142,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4143,Bacteria,Armatimonadetes,SHA-37,NA,NA,1
ASV4145,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Ellin5290,NA,1
ASV4146,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,1
ASV4147,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV4149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,0.67
ASV4150,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV4152,Bacteria,TM7,SC3,NA,NA,1
ASV4154,Bacteria,OP3,koll11,NA,NA,1
ASV4155,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,1
ASV4156,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,1
ASV4157,Bacteria,Chloroflexi,Gitt-GS-136,NA,NA,1
ASV4158,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV4159,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,1
ASV4160,Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,1
ASV4161,Bacteria,Gemmatimonadetes,Gemm-1,NA,NA,1
ASV4162,Bacteria,OP3,koll11,GIF10,kpj58rc,1
ASV4165,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV4166,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV4167,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,1
ASV4168,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV4169,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,NA,0.67
ASV4170,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,1
ASV4171,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,1
ASV4172,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4175,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV4176,Bacteria,Armatimonadetes,Chthonomonadetes,SJA-22,NA,1
ASV4177,Bacteria,Chloroflexi,Ktedonobacteria,B12-WMSP1,NA,1
ASV4178,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,NA,1
ASV4179,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,1
ASV4180,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,1
ASV4182,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0.67
ASV4184,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV4185,Bacteria,Fibrobacteres,Fibrobacteria,258ds10,NA,1
ASV4188,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,1
ASV4191,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV4192,Bacteria,Planctomycetes,vadinHA49,DH61,NA,1
ASV4193,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,0.67
ASV4194,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,1
ASV4195,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,1
ASV4197,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,1
ASV4200,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,NA,1
ASV4202,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV4203,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV4205,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,0.67
ASV4206,Bacteria,Chloroflexi,Chloroflexi,Herpetosiphonales,NA,1
ASV4207,Bacteria,Chlorobi,OPB56,NA,NA,1
ASV4208,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4210,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV4212,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,1
ASV4214,Bacteria,TM7,SC3,NA,NA,1
ASV4215,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales,1
ASV4216,Bacteria,Gemmatimonadetes,Gemm-1,NA,NA,1
ASV4217,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV4219,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,1
ASV4221,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4223,Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,1
ASV4228,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4231,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV4233,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,0.67
ASV4238,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV4240,Bacteria,FBP,NA,NA,NA,1
ASV4241,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4242,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4243,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,AKIW874,1
ASV4244,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,1
ASV4245,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV4246,Bacteria,Proteobacteria,TA18,PHOS-HD29,NA,1
ASV4248,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV4250,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1
ASV4251,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,1
ASV4252,Bacteria,FBP,NA,NA,NA,1
ASV4254,Bacteria,Proteobacteria,TA18,CV90,NA,1
ASV4256,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,1
ASV4257,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,1
ASV4259,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,0.67
ASV4260,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV4262,Bacteria,Thermi,Deinococci,Deinococcales,Deinococcaceae,1
ASV4265,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV4266,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,NA,1
ASV4267,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,0.67
ASV4270,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV4272,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1
ASV4273,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4276,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,NA,1
ASV4277,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,0.67
ASV4278,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1
ASV4280,Bacteria,Proteobacteria,Betaproteobacteria,Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,0.67
ASV4281,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV4282,Bacteria,Cyanobacteria,ML635J-21,NA,NA,1
ASV4283,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,1
ASV4284,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV4286,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,1
ASV4287,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV4290,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4292,Bacteria,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,0.67
ASV4294,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4297,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,1
ASV4298,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV4301,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4302,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV4303,Bacteria,TM6,SJA-4,NA,NA,1
ASV4304,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV4307,Bacteria,WS3,PRR-12,Sediment-1,PRR-10,0.67
ASV4308,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV4311,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,NA,1
ASV4312,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,1
ASV4314,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV4316,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4317,Bacteria,Chloroflexi,Thermomicrobia,NA,NA,1
ASV4319,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4320,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,NA,1
ASV4321,Bacteria,Gemmatimonadetes,Gemmatimonadetes,NA,NA,0.67
ASV4323,Bacteria,Chloroflexi,Chloroflexi,Roseiflexales,Kouleothrixaceae,1
ASV4324,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV4325,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV4327,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,1
ASV4328,Bacteria,OP11,WCHB1-64,d153,NA,1
ASV4330,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,1
ASV4331,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4335,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4337,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Pedosphaeraceae,0.67
ASV4341,Bacteria,Planctomycetes,C6,MVS-107,NA,1
ASV4343,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,1
ASV4345,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4349,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NA,1
ASV4350,Bacteria,Armatimonadetes,OPB50,NA,NA,1
ASV4353,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV4354,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV4356,Bacteria,TM7,TM7-1,NA,NA,1
ASV4357,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4358,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV4361,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,1
ASV4365,Bacteria,TM7,TM7-3,EW055,NA,0.67
ASV4366,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV4367,Bacteria,Elusimicrobia,Elusimicrobia,FAC88,NA,1
ASV4368,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,1
ASV4370,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,0.67
ASV4371,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,OM27,1
ASV4374,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4376,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4379,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV4381,Bacteria,Actinobacteria,MB-A2-108,0319-7L14,NA,1
ASV4383,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,LD19,1
ASV4384,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,NA,1
ASV4386,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV4387,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,NA,1
ASV4389,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,FFCH7168,1
ASV4391,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,1
ASV4392,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV4393,Bacteria,TM7,TM7-1,NA,NA,1
ASV4394,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4396,Bacteria,Planctomycetes,vadinHA49,p04_C01,NA,1
ASV4397,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,1
ASV4398,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4400,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,NA,0.67
ASV4401,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,NA,1
ASV4402,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV4403,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,1
ASV4405,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,1
ASV4409,Bacteria,Chloroflexi,Anaerolineae,SHA-20,NA,1
ASV4410,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,1
ASV4411,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,NA,1
ASV4412,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV4413,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV4415,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0.67
ASV4416,Bacteria,Chloroflexi,Thermomicrobia,Ellin6537,NA,1
ASV4417,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,1
ASV4418,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,1
ASV4419,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV4421,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1
ASV4424,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,NA,1
ASV4425,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV4426,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,1
ASV4428,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4429,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,1
ASV4430,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,0.67
ASV4431,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV4434,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,1
ASV4436,Bacteria,Planctomycetes,Pla4,NA,NA,1
ASV4438,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV4439,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV4441,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV4442,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,0.67
ASV4443,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,NA,1
ASV4444,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,1
ASV4450,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV4455,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,1
ASV4456,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV4458,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,1
ASV4459,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,1
ASV4462,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4463,Bacteria,Chloroflexi,TK17,mle1-48,NA,1
ASV4466,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4467,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,1
ASV4468,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4470,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV4471,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,0.67
ASV4472,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1
ASV4473,Bacteria,Acidobacteria,Solibacteres,JH-WHS99,NA,1
ASV4476,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV4478,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV4480,Bacteria,TM7,NA,NA,NA,1
ASV4482,Bacteria,Acidobacteria,Chloracidobacteria,RB41,Ellin6075,1
ASV4486,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,0.67
ASV4488,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV4489,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,0.67
