,Kingdom,Phylum,Class,Order,Family,Confidence
ASV8914,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV8915,Bacteria,Acidobacteria,Sva0725,Sva0725,NA,1
ASV8919,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,1
ASV8920,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV8921,Bacteria,Gemmatimonadetes,Gemm-1,NA,NA,1
ASV8923,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,NA,1
ASV8925,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,1
ASV8926,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,1
ASV8931,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV8934,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,1
ASV8938,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV8939,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,NA,1
ASV8940,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV8942,Bacteria,TM7,TM7-1,NA,NA,1
ASV8944,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,1
ASV8945,Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,1
ASV8946,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,0.67
ASV8948,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV8951,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV8958,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,1
ASV8960,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV8962,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV8967,Bacteria,TM6,SJA-4,NA,NA,1
ASV8970,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV8977,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,1
ASV8982,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV8983,Bacteria,Chloroflexi,TK10,AKYG885,5B-12,1
ASV8985,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV8986,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV8993,Bacteria,Cyanobacteria,ML635J-21,NA,NA,1
ASV8998,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV9002,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,NA,1
ASV9006,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,NA,1
ASV9010,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,1
ASV9013,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9015,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV9018,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,1
ASV9023,Bacteria,Cyanobacteria,Chloroplast,Stramenopiles,NA,1
ASV9028,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,1
ASV9031,Bacteria,TM6,SJA-4,NA,NA,1
ASV9036,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9038,Bacteria,TM6,SJA-4,NA,NA,1
ASV9043,Bacteria,Proteobacteria,Alphaproteobacteria,Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,1
ASV9047,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,1
ASV9053,Bacteria,Gemmatimonadetes,Gemmatimonadetes,NA,NA,0.67
ASV9055,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV9057,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,1
ASV9060,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,1
ASV9061,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,1
ASV9067,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9068,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9069,Bacteria,OD1,SM2F11,NA,NA,1
ASV9072,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9073,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,R4-41B,1
ASV9074,Bacteria,AD3,JG37-AG-4,NA,NA,1
ASV9079,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,0.67
ASV9083,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,1
ASV9084,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,1
