,Name,Plant_ID,Type,Experiment,Cohort,Harvested,Age,Site,Treatment,Line,Genotype,Block
M1980P476,8_0850.root,8_0850,root,ecotypes,2008,2011,3,Mah,field,PAR.29.B2,PAR,8_18
M1980P477,8_0703.root,8_0703,root,ecotypes,2008,2011,3,Par,field,JAM.40.A,JAM,8_15
M1980P481,8_0775.leaf,8_0775,leaf,ecotypes,2008,2011,3,Jam,field,SILLow.5,SIL,8_17
M1980P484,8_1378.leaf,8_1378,leaf,ecotypes,2008,2011,3,Jam,field,MAH.16.A,MAH,8_29
M1980P487,8_0715.root,8_0715,root,ecotypes,2008,2011,3,Par,field,PAR.9.A1,PAR,8_15
M1980P489,8_0976.leaf,8_0976,leaf,ecotypes,2008,2011,3,Mah,field,JAM.1.A,JAM,8_21
M1980P491,8_0358.root,8_0358,root,ecotypes,2008,2011,3,Mil,field,SILLow.2,SIL,8_08
M1980P496,8_0419.leaf,8_0419,leaf,ecotypes,2008,2011,3,Mah,field,MAH.16.A,MAH,8_09
M1980P499,8_0821.root,8_0821,root,ecotypes,2008,2011,3,Mah,field,MAH.46.A,MAH,8_18
M1980P501,8_0833.leaf,8_0833,leaf,ecotypes,2008,2011,3,Mah,field,SILLow.7,SIL,8_18
M1980P503,8_1322.leaf,8_1322,leaf,ecotypes,2008,2011,3,Mah,field,JAM.7.B,JAM,8_28
M1980P513,8_0961.root,8_0961,root,ecotypes,2008,2011,3,Mah,field,SILupper.2,SIL,8_21
M1980P519,8_1337.root,8_1337,root,ecotypes,2008,2011,3,Mah,field,MIL.32.A1,MIL,8_28
M1980P520,8_0328.leaf,8_0328,leaf,ecotypes,2008,2011,3,Jam,field,MAH.37.A,MAH,8_07
M1980P532,8_0430.leaf,8_0430,leaf,ecotypes,2008,2011,3,Mah,field,SILLow.7,SIL,8_09
M1980P533,8_0318.leaf,8_0318,leaf,ecotypes,2008,2011,3,Jam,field,JAM.40.A,JAM,8_07
M1980P534,8_1333.root,8_1333,root,ecotypes,2008,2011,3,Mah,field,MAH.16.A,MAH,8_28
M1980P535,8_0573.root,8_0573,root,ecotypes,2008,2011,3,Mah,field,PAR.9.A1,PAR,8_12
M1980P539,8_0561.leaf,8_0561,leaf,ecotypes,2008,2011,3,Mah,field,MAH.37.A,MAH,8_12
M1980P540,8_0714.root,8_0714,root,ecotypes,2008,2011,3,Par,field,MIL.53.A,MIL,8_15
M1980P541,8_1337.leaf,8_1337,leaf,ecotypes,2008,2011,3,Mah,field,MIL.32.A1,MIL,8_28
M1980P543,8_1003.leaf,8_1003,leaf,ecotypes,2008,2011,3,Mah,field,PAR.29.B2,PAR,8_21
M1980P547,8_1400.root,8_1400,root,ecotypes,2008,2011,3,Mil,field,MAH.16.A,MAH,8_30
M1980P507,8_0828.root,8_0828,root,ecotypes,2008,2011,3,Mah,field,MIL.53.A,MIL,8_18
M1980P510,8_0961.leaf,8_0961,leaf,ecotypes,2008,2011,3,Mah,field,SILupper.2,SIL,8_21
M1980P494,8_0310.leaf,8_0310,leaf,ecotypes,2008,2011,3,Jam,field,SILLow.5,SIL,8_07
M1980P538,8_0821.leaf,8_0821,leaf,ecotypes,2008,2011,3,Mah,field,MAH.46.A,MAH,8_18
M1980P483,8_0991.leaf,8_0991,leaf,ecotypes,2008,2011,3,Mah,field,MAH.38.B,MAH,8_21
M1980P505,8_1013.leaf,8_1013,leaf,ecotypes,2008,2011,3,Jam,field,PAR.22.A2,PAR,8_22
M1980P506,8_0393.leaf,8_0393,leaf,ecotypes,2008,2011,3,Mah,field,PAR.13.A,PAR,8_09
M1980P486,8_0424.root,8_0424,root,ecotypes,2008,2011,3,Mah,field,MIL.24.A,MIL,8_09
M1980P471,8_0158.leaf,8_0158,leaf,ecotypes,2008,2011,3,Jam,field,JAM.6.A,JAM,8_04
M1980P502,8_0074.leaf,8_0074,leaf,ecotypes,2008,2011,3,Mah,field,JAM.15.A,JAM,8_02
M1981P555,8_1335.leaf,8_1335,leaf,ecotypes,2008,2011,3,Mah,field,SILupper.2,SIL,8_28
M1981P556,8_0593.leaf,8_0593,leaf,ecotypes,2008,2011,3,Jam,field,PAR.10.A6,PAR,8_13
M1981P560,8_1298.leaf,8_1298,leaf,ecotypes,2008,2011,3,Mah,field,PAR.9.A1,PAR,8_28
M1981P561,8_0790.leaf,8_0790,leaf,ecotypes,2008,2011,3,Jam,field,PAR.13.A,PAR,8_17
M1981P563,8_0053.leaf,8_0053,leaf,ecotypes,2008,2011,3,Mah,field,MAH.8.A1,MAH,8_02
M1981P564,8_0115.root,8_0115,root,ecotypes,2008,2011,3,Mil,field,MAH.48.A,MAH,8_03
M1981P565,8_0922.root,8_0922,root,ecotypes,2008,2011,3,Mil,field,MAH.11.A,MAH,8_20
M1981P569,8_0464.root,8_0464,root,ecotypes,2008,2011,3,Par,field,MAH.8.A1,MAH,8_10
